	Species	Accession_IDs	segment	Genus	Sort	Isolate Sort	Original_Accession_String	Errors
216	Gammapapillomavirus 7	GU117629		Gammapapillomavirus	4738.0	3.0	GU117629	
217	Gammapapillomavirus 7	GU117634		Gammapapillomavirus	4739.0	4.0	GU117634	
218	Gammapapillomavirus 7	HM999990		Gammapapillomavirus	4740.0	5.0	HM999990	
219	Gammapapillomavirus 7	HM999991		Gammapapillomavirus	4741.0	6.0	HM999991	
220	Gammapapillomavirus 7	JF906559		Gammapapillomavirus	4742.0	7.0	JF906559	
221	Gammapapillomavirus 7	JX413110		Gammapapillomavirus	4743.0	8.0	JX413110	
222	Gammapapillomavirus 8	GQ845441		Gammapapillomavirus	4745.0	2.0	GQ845441	
223	Gammapapillomavirus 8	HM999999		Gammapapillomavirus	4746.0	3.0	HM999999	
224	Gammapapillomavirus 8	JX413106		Gammapapillomavirus	4747.0	4.0	JX413106	
225	Gammapapillomavirus 8	KC862317		Gammapapillomavirus	4748.0	5.0	KC862317	
226	Gammapapillomavirus 9	GU233853		Gammapapillomavirus	4750.0	2.0	GU233853	
227	Iotapapillomavirus 1	HQ625441		Iotapapillomavirus	4752.0	2.0	HQ625441	
228	Iotapapillomavirus 1	KT945134		Iotapapillomavirus	4753.0	3.0	KT945134	
229	Lambdapapillomavirus 1	AY904722		Lambdapapillomavirus	4758.0	2.0	AY904722	
230	Lambdapapillomavirus 1	AY904723		Lambdapapillomavirus	4759.0	3.0	AY904723	
231	Lambdapapillomavirus 1	AY904724		Lambdapapillomavirus	4760.0	4.0	AY904724	
232	Lambdapapillomavirus 1	DQ180494		Lambdapapillomavirus	4761.0	5.0	DQ180494	
233	Lambdapapillomavirus 4	KJ410351		Lambdapapillomavirus	4765.0	2.0	KJ410351	
234	Omikronpapillomavirus 1	GU117621		Omikronpapillomavirus	4773.0	2.0	GU117621	
235	Omikronpapillomavirus 1	JN709470		Omikronpapillomavirus	4774.0	3.0	JN709470	
236	Omikronpapillomavirus 1	JN709471		Omikronpapillomavirus	4775.0	4.0	JN709471	
237	Pipapillomavirus 1	HG939559		Pipapillomavirus	4778.0	2.0	HG939559	
238	Pipapillomavirus 2	DQ269468		Pipapillomavirus	4780.0	2.0	DQ269468	
239	Pipapillomavirus 2	GQ180114		Pipapillomavirus	4781.0	3.0	GQ180114	
240	Pipapillomavirus 2	GU808564		Pipapillomavirus	4782.0	4.0	GU808564	
241	Pipapillomavirus 2	HQ625440		Pipapillomavirus	4783.0	5.0	HQ625440	
242	Rhopapillomavirus 1	JN709473		Rhopapillomavirus	4788.0	2.0	JN709473	
243	Rhopapillomavirus 2	KP205503		Rhopapillomavirus	4790.0	2.0	KP205503	
244	Taupapillomavirus 1	FJ492742		Taupapillomavirus	4793.0	2.0	FJ492742	
245	Taupapillomavirus 1	KT272399		Taupapillomavirus	4794.0	3.0	KT272399	
246	Taupapillomavirus 1	KX599536		Taupapillomavirus	4795.0	4.0	KX599536	
247	Taupapillomavirus 3	KF147892		Taupapillomavirus	4798.0	2.0	KF147892	
248	Treisepsilonpapillomavirus 1	MF168943		Treisepsilonpapillomavirus	4803.0	2.0	MF168943	
249	Upsilonpapillomavirus 1	EU240895		Upsilonpapillomavirus	4810.0	2.0	EU240895	
250	Upsilonpapillomavirus 1	GU117620		Upsilonpapillomavirus	4811.0	3.0	GU117620	
251	Upsilonpapillomavirus 1	JN709469		Upsilonpapillomavirus	4812.0	4.0	JN709469	
252	Upsilonpapillomavirus 1	JN709472		Upsilonpapillomavirus	4813.0	5.0	JN709472	
253	Xipapillomavirus 1	AB331650		Xipapillomavirus	4817.0	2.0	AB331650	
254	Xipapillomavirus 1	AB331651		Xipapillomavirus	4818.0	3.0	AB331651	
255	Xipapillomavirus 1	AB543507		Xipapillomavirus	4819.0	4.0	AB543507	
256	Xipapillomavirus 1	AJ620208		Xipapillomavirus	4820.0	5.0	AJ620208	
257	Xipapillomavirus 1	KM983393		Xipapillomavirus	4821.0	6.0	KM983393	
258	Xipapillomavirus 1	KX098515		Xipapillomavirus	4822.0	7.0	KX098515	
259	Xipapillomavirus 1	X05817		Xipapillomavirus	4823.0	8.0	X05817	
260	Abaca bunchy top virus	EF546806	DNA-C	Babuvirus	5282.0	2.0	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	
261	Abaca bunchy top virus	EF546805	DNA-M	Babuvirus	5282.0	2.0	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	
262	Abaca bunchy top virus	EF546802	DNA-N	Babuvirus	5282.0	2.0	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	
263	Abaca bunchy top virus	EF546807	DNA-R	Babuvirus	5282.0	2.0	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	
264	Abaca bunchy top virus	EF546804	DNA-S	Babuvirus	5282.0	2.0	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	
265	Abaca bunchy top virus	EF546803	DNA-U3	Babuvirus	5282.0	2.0	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	
266	Banana bunchy top virus	DQ826395	DNA-C	Babuvirus	5284.0	2.0	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	
267	Banana bunchy top virus	DQ826394	DNA-M	Babuvirus	5284.0	2.0	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	
268	Banana bunchy top virus	DQ826396	DNA-N	Babuvirus	5284.0	2.0	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	
269	Banana bunchy top virus	DQ826390	DNA-R	Babuvirus	5284.0	2.0	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	
270	Banana bunchy top virus	DQ826393	DNA-S	Babuvirus	5284.0	2.0	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	
271	Banana bunchy top virus	DQ826391	DNA-U3	Babuvirus	5284.0	2.0	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	
272	Cardamom bushy dwarf virus	KF711227	DNA-C	Babuvirus	5286.0	2.0	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	
273	Cardamom bushy dwarf virus	KF711064	DNA-M	Babuvirus	5286.0	2.0	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	
274	Cardamom bushy dwarf virus	KF711390	DNA-N	Babuvirus	5286.0	2.0	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	
275	Cardamom bushy dwarf virus	KF710575	DNA-R	Babuvirus	5286.0	2.0	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	
276	Cardamom bushy dwarf virus	KF710901	DNA-S	Babuvirus	5286.0	2.0	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	
277	Cardamom bushy dwarf virus	KF710738	DNA-U3	Babuvirus	5286.0	2.0	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	
278	Black medic leaf roll virus	KC978941	DNA-C	Nanovirus	5288.0	2.0	DNA-C: KC978941; DNA-M: KC978942; DNA-N: KC978943; DNA-R: KC978939; DNA-S: KC978940; DNA-U1: KC978944; DNA-U2: KC978946; DNA-U4: KC978947	
279	Black medic leaf roll virus	KC978942	DNA-M	Nanovirus	5288.0	2.0	DNA-C: KC978941; DNA-M: KC978942; DNA-N: KC978943; DNA-R: KC978939; DNA-S: KC978940; DNA-U1: KC978944; DNA-U2: KC978946; DNA-U4: KC978947	
