A_acc	A_genus	A_species	A_seg	A_seq_len	STATUS	perc_qcov	E_top_hit_acc	E_top_hit_species	E_top_hit_seg	E_top_hit_perc_qcov	_min_perc_cov	_blast_mode
KC012913	Kayvirus	Kayvirus G1		140903.0	HIT_01	0.9791274848654749	AY954969.?	Kayvirus_G1		0.9791274848654749	0.05	blastn10
JX846613	Silviavirus	Silviavirus remus		131332.0	HIT_01	0.9932841957786374	JX846612.?	Silviavirus_remus		0.9932841957786374	0.05	blastn10
AB910602	Coriovirus	Coriovirus Cf1c		7325.0	HIT_01	0.9997269624573378	M57538.?	Coriovirus_Cf1c		0.9997269624573378	0.05	blastn10
AB572858	Fibrovirus	Fibrovirus fs1		6856.0	HIT_03	0.9091306884480747	AY242528.?	Fibrovirus_VGJ		0.9880396732788798	0.05	blastn10
AF453500	Fibrovirus	Fibrovirus fs1		6882.0	HIT_03	0.9070037779715199	AY242528.?	Fibrovirus_VGJ		0.9859052600988085	0.05	blastn10
AF452449	Fibrovirus	Fibrovirus fs1		6834.0	HIT_02	0.9000585308750366	AY242528.?	Fibrovirus_VGJ		0.9877085162423178	0.05	blastn10
FJ904927	Fibrovirus	Fibrovirus fs1		6842.0	HIT_02	0.9136217480268927	AY242528.?	Fibrovirus_VGJ		0.9885998246126864	0.05	blastn10
MF716957	Habenivirus	Habenivirus RS551		6945.0	HIT_01	0.9981281497480201	KX179905.?	Habenivirus_RS551		0.9981281497480201	0.05	blastn10
AB981170	Habenivirus	Habenivirus RSM3		8956.0	HIT_01	0.9998883430102724	AB434711.?	Habenivirus_RSM3		0.9998883430102724	0.05	blastn10
J02451	Inovirus	Inovirus M13		6408.0	HIT_01	0.9998439450686641	V00604.?	Inovirus_M13		0.9998439450686641	0.05	blastn10
JX412914	Inovirus	Inovirus M13		6407.0	HIT_01	0.9998439207117216	V00604.?	Inovirus_M13		0.9998439207117216	0.05	blastn10
JF719734	Inovirus	Inovirus M13		6407.0	HIT_01	0.9936007491805837	V00604.?	Inovirus_M13		0.9936007491805837	0.05	blastn10
JF719733	Inovirus	Inovirus M13		6407.0	HIT_01	0.9998439207117216	V00604.?	Inovirus_M13		0.9998439207117216	0.05	blastn10
JF719732	Inovirus	Inovirus M13		6407.0	HIT_01	0.9937568284688622	V00604.?	Inovirus_M13		0.9937568284688622	0.05	blastn10
GQ153919	Inovirus	Inovirus M13		6407.0	HIT_01	0.9968784142344311	V00604.?	Inovirus_M13		0.9968784142344311	0.05	blastn10
GQ153918	Inovirus	Inovirus M13		6407.0	HIT_01	0.9968784142344311	V00604.?	Inovirus_M13		0.9968784142344311	0.05	blastn10
GQ153917	Inovirus	Inovirus M13		6407.0	HIT_01	0.9904791634150149	V00604.?	Inovirus_M13		0.9904791634150149	0.05	blastn10
GQ153916	Inovirus	Inovirus M13		6407.0	HIT_01	0.9302325581395349	V00604.?	Inovirus_M13		0.9302325581395349	0.05	blastn10
AB334721	Inovirus	Inovirus M13		6407.0	HIT_01	0.9998439207117216	V00604.?	Inovirus_M13		0.9998439207117216	0.05	blastn10
AB334720	Inovirus	Inovirus M13		6407.0	HIT_01	0.9998439207117216	V00604.?	Inovirus_M13		0.9998439207117216	0.05	blastn10
J02448	Inovirus	Inovirus M13		6407.0	HIT_01	0.9998439207117216	V00604.?	Inovirus_M13		0.9998439207117216	0.05	blastn10
JQ408219	Restivirus	Restivirus RSS1		7288.0	HIT_02	0.914517014270033	MT495635.?	Restivirus_RSBg		0.9392151481888035	0.05	blastn10
LC066596	Restivirus	Restivirus RSS1		7273.0	HIT_02	0.9168156194142719	MT495635.?	Restivirus_RSBg		0.9351024336587378	0.05	blastn10
AB931172	Restivirus	Restivirus RSS1		6386.0	HIT_02	0.9013466958972753	MT495635.?	Restivirus_RSBg		0.9639837143751957	0.05	blastn10
M19377	Tertilicivirus	Tertilicivirus Pf3		5833.0	HIT_01	0.9998285616320932	M11912.?	Tertilicivirus_Pf3		0.9998285616320932	0.05	blastn10
AB043679	Versovirus	Versovirus VfO3K6		6891.0	HIT_01	0.9998548831809607	AB043678.?	Versovirus_VfO3K6		0.9998548831809607	0.05	blastn10
AB012574	Villovirus	Villovirus Vf33		7965.0	HIT_01	0.9998744507219084	AB012573.?	Villovirus_Vf33		0.9998744507219084	0.05	blastn10
KY853667	Xylivirus	Xylivirus Xf109		8280.0	HIT_01	0.8660628019323672	KX181651.?	Xylivirus_Xf109		0.8660628019323672	0.05	blastn10
M73236	Alphapapillomavirus	Alphapapillomavirus 1		7917.0	HIT_01	0.9552860932171277	X74475.?	Alphapapillomavirus_1		0.9552860932171277	0.05	blastn10
AF436130	Alphapapillomavirus	Alphapapillomavirus 10		7887.0	HIT_01	0.9158108279447191	X00203.?	Alphapapillomavirus_10		0.9158108279447191	0.05	blastn10
M14119	Alphapapillomavirus	Alphapapillomavirus 10		7931.0	HIT_01	0.9997478249905435	X00203.?	Alphapapillomavirus_10		0.9997478249905435	0.05	blastn10
U31788	Alphapapillomavirus	Alphapapillomavirus 10		7833.0	HIT_01	0.9431890718753989	X00203.?	Alphapapillomavirus_10		0.9431890718753989	0.05	blastn10
X62843	Alphapapillomavirus	Alphapapillomavirus 10		7880.0	HIT_01	0.9501269035532995	X00203.?	Alphapapillomavirus_10		0.9501269035532995	0.05	blastn10
X62844	Alphapapillomavirus	Alphapapillomavirus 10		7902.0	HIT_01	0.9144520374588712	X00203.?	Alphapapillomavirus_10		0.9144520374588712	0.05	blastn10
X94165	Alphapapillomavirus	Alphapapillomavirus 11		7700.0	HIT_01	0.9962337662337662	X74476.?	Alphapapillomavirus_11		0.9962337662337662	0.05	blastn10
EF558838	Alphapapillomavirus	Alphapapillomavirus 12		8063.0	HIT_01	0.9895820414237877	M60184.?	Alphapapillomavirus_12		0.9895820414237877	0.05	blastn10
EF558839	Alphapapillomavirus	Alphapapillomavirus 12		7935.0	HIT_01	0.94354127284184	M60184.?	Alphapapillomavirus_12		0.94354127284184	0.05	blastn10
EF558840	Alphapapillomavirus	Alphapapillomavirus 12		7943.0	HIT_01	0.9938310462042049	M60184.?	Alphapapillomavirus_12		0.9938310462042049	0.05	blastn10
EF558841	Alphapapillomavirus	Alphapapillomavirus 12		7950.0	HIT_01	0.9677987421383648	M60184.?	Alphapapillomavirus_12		0.9677987421383648	0.05	blastn10
EF558842	Alphapapillomavirus	Alphapapillomavirus 12		8001.0	HIT_01	0.8960129983752031	M60184.?	Alphapapillomavirus_12		0.8960129983752031	0.05	blastn10
EF558843	Alphapapillomavirus	Alphapapillomavirus 12		7990.0	HIT_01	0.9921151439299124	M60184.?	Alphapapillomavirus_12		0.9921151439299124	0.05	blastn10
EU490515	Alphapapillomavirus	Alphapapillomavirus 12		7920.0	HIT_01	0.9967171717171717	M60184.?	Alphapapillomavirus_12		0.9967171717171717	0.05	blastn10
EU490516	Alphapapillomavirus	Alphapapillomavirus 12		7988.0	HIT_01	0.9902353530295444	M60184.?	Alphapapillomavirus_12		0.9902353530295444	0.05	blastn10
GQ227670	Alphapapillomavirus	Alphapapillomavirus 12		8014.0	HIT_01	0.9266284002994759	M60184.?	Alphapapillomavirus_12		0.9266284002994759	0.05	blastn10
JF304764	Alphapapillomavirus	Alphapapillomavirus 12		8008.0	HIT_01	0.9365634365634365	M60184.?	Alphapapillomavirus_12		0.9365634365634365	0.05	blastn10
KT944080	Alphapapillomavirus	Alphapapillomavirus 12		7898.0	HIT_01	0.9953152696885288	M60184.?	Alphapapillomavirus_12		0.9953152696885288	0.05	blastn10
AY057438	Alphapapillomavirus	Alphapapillomavirus 14		8033.0	HIT_01	0.88858458857214	AB040456.?	Alphapapillomavirus_14		0.88858458857214	0.05	blastn10
DQ080082	Alphapapillomavirus	Alphapapillomavirus 14		8035.0	HIT_01	0.9473553204729309	AB040456.?	Alphapapillomavirus_14		0.9473553204729309	0.05	blastn10
GU014532	Alphapapillomavirus	Alphapapillomavirus 14		8060.0	HIT_01	0.7579404466501241	AB040456.?	Alphapapillomavirus_14		0.7579404466501241	0.05	blastn10
AB745694	Alphapapillomavirus	Alphapapillomavirus 2		7779.0	HIT_01	0.9996143463170073	X74465.?	Alphapapillomavirus_2		0.9996143463170073	0.05	blastn10
AJ620211	Alphapapillomavirus	Alphapapillomavirus 2		7881.0	HIT_01	0.9986042380408577	X74465.?	Alphapapillomavirus_2		0.9986042380408577	0.05	blastn10
FN547152	Alphapapillomavirus	Alphapapillomavirus 2		7809.0	HIT_01	0.9970546804968626	X74465.?	Alphapapillomavirus_2		0.9970546804968626	0.05	blastn10
GQ246950	Alphapapillomavirus	Alphapapillomavirus 2		7895.0	HIT_01	0.9998733375554149	X74465.?	Alphapapillomavirus_2		0.9998733375554149	0.05	blastn10
KC138720	Alphapapillomavirus	Alphapapillomavirus 2		7830.0	HIT_01	0.998978288633461	X74465.?	Alphapapillomavirus_2		0.998978288633461	0.05	blastn10
U31783	Alphapapillomavirus	Alphapapillomavirus 2		7959.0	HIT_01	0.9894459102902374	X74465.?	Alphapapillomavirus_2		0.9894459102902374	0.05	blastn10
U31784	Alphapapillomavirus	Alphapapillomavirus 2		7916.0	HIT_01	0.9997473471450228	X74465.?	Alphapapillomavirus_2		0.9997473471450228	0.05	blastn10
X74462	Alphapapillomavirus	Alphapapillomavirus 2		7820.0	HIT_01	0.9978260869565218	X74465.?	Alphapapillomavirus_2		0.9978260869565218	0.05	blastn10
Y15175	Alphapapillomavirus	Alphapapillomavirus 2		7887.0	HIT_01	0.99974641815646	X74465.?	Alphapapillomavirus_2		0.99974641815646	0.05	blastn10
AF151983	Alphapapillomavirus	Alphapapillomavirus 3		8104.0	HIT_01	0.9102912142152023	U31793.?	Alphapapillomavirus_3		0.9102912142152023	0.05	blastn10
AF293960	Alphapapillomavirus	Alphapapillomavirus 3		7948.0	HIT_01	0.9032460996477101	U31793.?	Alphapapillomavirus_3		0.9032460996477101	0.05	blastn10
AF349909	Alphapapillomavirus	Alphapapillomavirus 3		7983.0	HIT_01	0.8445446573969686	U31793.?	Alphapapillomavirus_3		0.8445446573969686	0.05	blastn10
AF436128	Alphapapillomavirus	Alphapapillomavirus 3		8078.0	HIT_01	0.8745976726912602	U31793.?	Alphapapillomavirus_3		0.8745976726912602	0.05	blastn10
AJ400628	Alphapapillomavirus	Alphapapillomavirus 3		7998.0	HIT_01	0.856964241060265	U31793.?	Alphapapillomavirus_3		0.856964241060265	0.05	blastn10
AJ620209	Alphapapillomavirus	Alphapapillomavirus 3		8070.0	HIT_01	0.8845105328376703	U31793.?	Alphapapillomavirus_3		0.8845105328376703	0.05	blastn10
AY395706	Alphapapillomavirus	Alphapapillomavirus 3		8092.0	HIT_01	0.9143598615916955	U31793.?	Alphapapillomavirus_3		0.9143598615916955	0.05	blastn10
DQ080083	Alphapapillomavirus	Alphapapillomavirus 3		8078.0	HIT_01	0.8741025006189651	U31793.?	Alphapapillomavirus_3		0.8741025006189651	0.05	blastn10
GQ244463	Alphapapillomavirus	Alphapapillomavirus 3		8069.0	HIT_01	0.899367951419011	U31793.?	Alphapapillomavirus_3		0.899367951419011	0.05	blastn10
X94164	Alphapapillomavirus	Alphapapillomavirus 3		7988.0	HIT_01	0.9984977466199298	U31793.?	Alphapapillomavirus_3		0.9984977466199298	0.05	blastn10
X55965	Alphapapillomavirus	Alphapapillomavirus 4		7861.0	HIT_01	0.9992367383284569	X55964.?	Alphapapillomavirus_4		0.9992367383284569	0.05	blastn10
X74473	Alphapapillomavirus	Alphapapillomavirus 4		7823.0	HIT_01	0.9985938898120925	X55964.?	Alphapapillomavirus_4		0.9985938898120925	0.05	blastn10
AB027020	Alphapapillomavirus	Alphapapillomavirus 5		7700.0	HIT_01	0.9872727272727273	X74472.?	Alphapapillomavirus_5		0.9872727272727273	0.05	blastn10
AB027021	Alphapapillomavirus	Alphapapillomavirus 5		7871.0	HIT_01	0.909795451657985	X74472.?	Alphapapillomavirus_5		0.909795451657985	0.05	blastn10
M62877	Alphapapillomavirus	Alphapapillomavirus 5		7808.0	HIT_01	0.8966444672131147	X74472.?	Alphapapillomavirus_5		0.8966444672131147	0.05	blastn10
U31794	Alphapapillomavirus	Alphapapillomavirus 6		7824.0	HIT_01	0.9991053169734151	X74474.?	Alphapapillomavirus_6		0.9991053169734151	0.05	blastn10
X74482	Alphapapillomavirus	Alphapapillomavirus 6		7856.0	HIT_01	0.9997454175152749	X74474.?	Alphapapillomavirus_6		0.9997454175152749	0.05	blastn10
X74483	Alphapapillomavirus	Alphapapillomavirus 6		7844.0	HIT_01	0.9716981132075472	X74474.?	Alphapapillomavirus_6		0.9716981132075472	0.05	blastn10
AF131950	Alphapapillomavirus	Alphapapillomavirus 7		7812.0	HIT_01	0.9863031233998976	X05015.?	Alphapapillomavirus_7		0.9863031233998976	0.05	blastn10
DQ080079	Alphapapillomavirus	Alphapapillomavirus 7		7822.0	HIT_01	0.8984914344157504	X05015.?	Alphapapillomavirus_7		0.8984914344157504	0.05	blastn10
DQ080080	Alphapapillomavirus	Alphapapillomavirus 7		7843.0	HIT_01	0.9968124442177738	X05015.?	Alphapapillomavirus_7		0.9968124442177738	0.05	blastn10
M62849	Alphapapillomavirus	Alphapapillomavirus 7		7833.0	HIT_01	0.8988893144389123	X05015.?	Alphapapillomavirus_7		0.8988893144389123	0.05	blastn10
U21941	Alphapapillomavirus	Alphapapillomavirus 7		7905.0	HIT_01	0.9278937381404174	X05015.?	Alphapapillomavirus_7		0.9278937381404174	0.05	blastn10
X74479	Alphapapillomavirus	Alphapapillomavirus 7		7858.0	HIT_01	0.9970730465767371	X05015.?	Alphapapillomavirus_7		0.9970730465767371	0.05	blastn10
X77858	Alphapapillomavirus	Alphapapillomavirus 7		7896.0	HIT_01	0.9682117527862208	X05015.?	Alphapapillomavirus_7		0.9682117527862208	0.05	blastn10
AF419318	Alphapapillomavirus	Alphapapillomavirus 8		7966.0	HIT_01	0.8817474265628923	X74463.?	Alphapapillomavirus_8		0.8817474265628923	0.05	blastn10
AJ620205	Alphapapillomavirus	Alphapapillomavirus 8		7975.0	HIT_01	0.9038244514106583	X74463.?	Alphapapillomavirus_8		0.9038244514106583	0.05	blastn10
X74478	Alphapapillomavirus	Alphapapillomavirus 8		7909.0	HIT_01	0.9993678088253888	X74463.?	Alphapapillomavirus_8		0.9993678088253888	0.05	blastn10
D21208	Alphapapillomavirus	Alphapapillomavirus 9		7801.0	HIT_01	0.8157928470708884	K02718.?	Alphapapillomavirus_9		0.8157928470708884	0.05	blastn10
D90400	Alphapapillomavirus	Alphapapillomavirus 9		7824.0	HIT_01	0.7993353783231084	K02718.?	Alphapapillomavirus_9		0.7993353783231084	0.05	blastn10
J04353	Alphapapillomavirus	Alphapapillomavirus 9		7912.0	HIT_01	0.8959807886754297	K02718.?	Alphapapillomavirus_9		0.8959807886754297	0.05	blastn10
M12732	Alphapapillomavirus	Alphapapillomavirus 9		7909.0	HIT_01	0.7940321153116703	K02718.?	Alphapapillomavirus_9		0.7940321153116703	0.05	blastn10
X74477	Alphapapillomavirus	Alphapapillomavirus 9		7879.0	HIT_01	0.8931336464018277	K02718.?	Alphapapillomavirus_9		0.8931336464018277	0.05	blastn10
X74481	Alphapapillomavirus	Alphapapillomavirus 9		7942.0	HIT_01	0.8317804079576933	K02718.?	Alphapapillomavirus_9		0.8317804079576933	0.05	blastn10
AY382778	Betapapillomavirus	Betapapillomavirus 1		7450.0	HIT_01	0.854765100671141	M17463.?	Betapapillomavirus_1		0.854765100671141	0.05	blastn10
EF028290	Betapapillomavirus	Betapapillomavirus 1		7588.0	HIT_01	0.8671586715867159	M17463.?	Betapapillomavirus_1		0.8671586715867159	0.05	blastn10
FM955837	Betapapillomavirus	Betapapillomavirus 1		7466.0	HIT_01	0.8861505491561746	M17463.?	Betapapillomavirus_1		0.8861505491561746	0.05	blastn10
FM955838	Betapapillomavirus	Betapapillomavirus 1		7698.0	HIT_01	0.9854507664328397	M17463.?	Betapapillomavirus_1		0.9854507664328397	0.05	blastn10
FM955841	Betapapillomavirus	Betapapillomavirus 1		7667.0	HIT_01	0.9980435633233338	M17463.?	Betapapillomavirus_1		0.9980435633233338	0.05	blastn10
GQ246951	Betapapillomavirus	Betapapillomavirus 1		7597.0	HIT_01	0.8696854021324207	M17463.?	Betapapillomavirus_1		0.8696854021324207	0.05	blastn10
GQ845446	Betapapillomavirus	Betapapillomavirus 1		7489.0	HIT_01	0.8786219789023901	M17463.?	Betapapillomavirus_1		0.8786219789023901	0.05	blastn10
GU014533	Betapapillomavirus	Betapapillomavirus 1		7686.0	HIT_01	0.8482956023939631	M17463.?	Betapapillomavirus_1		0.8482956023939631	0.05	blastn10
HM999995	Betapapillomavirus	Betapapillomavirus 1		7715.0	HIT_01	0.9994815294880104	M17463.?	Betapapillomavirus_1		0.9994815294880104	0.05	blastn10
JF304768	Betapapillomavirus	Betapapillomavirus 1		7480.0	HIT_01	0.8758021390374332	M17463.?	Betapapillomavirus_1		0.8758021390374332	0.05	blastn10
M12737	Betapapillomavirus	Betapapillomavirus 1		7654.0	HIT_01	0.9998693493598119	M17463.?	Betapapillomavirus_1		0.9998693493598119	0.05	blastn10
M32305	Betapapillomavirus	Betapapillomavirus 1		7726.0	HIT_01	0.9955992751747347	M17463.?	Betapapillomavirus_1		0.9955992751747347	0.05	blastn10
U31778	Betapapillomavirus	Betapapillomavirus 1		7757.0	HIT_01	0.9143998968673456	M17463.?	Betapapillomavirus_1		0.9143998968673456	0.05	blastn10
U31779	Betapapillomavirus	Betapapillomavirus 1		7779.0	HIT_01	0.9411235377297853	M17463.?	Betapapillomavirus_1		0.9411235377297853	0.05	blastn10
U31782	Betapapillomavirus	Betapapillomavirus 1		7452.0	HIT_01	0.8761406333870102	M17463.?	Betapapillomavirus_1		0.8761406333870102	0.05	blastn10
U31785	Betapapillomavirus	Betapapillomavirus 1		7722.0	HIT_01	0.9949494949494949	M17463.?	Betapapillomavirus_1		0.9949494949494949	0.05	blastn10
X74466	Betapapillomavirus	Betapapillomavirus 1		7673.0	HIT_01	0.9882705591033494	M17463.?	Betapapillomavirus_1		0.9882705591033494	0.05	blastn10
X74467	Betapapillomavirus	Betapapillomavirus 1		7439.0	HIT_01	0.9415243984406506	M17463.?	Betapapillomavirus_1		0.9415243984406506	0.05	blastn10
X74470	Betapapillomavirus	Betapapillomavirus 1		7685.0	HIT_01	0.9392322706571242	M17463.?	Betapapillomavirus_1		0.9392322706571242	0.05	blastn10
X74471	Betapapillomavirus	Betapapillomavirus 1		7713.0	HIT_01	0.9534552054972125	M17463.?	Betapapillomavirus_1		0.9534552054972125	0.05	blastn10
EF422221	Betapapillomavirus	Betapapillomavirus 2		7562.0	HIT_01	0.8963237238825708	X74464.?	Betapapillomavirus_2		0.8963237238825708	0.05	blastn10
EU410348	Betapapillomavirus	Betapapillomavirus 2		7423.0	HIT_01	0.9890879698235215	X74464.?	Betapapillomavirus_2		0.9890879698235215	0.05	blastn10
EU410349	Betapapillomavirus	Betapapillomavirus 2		7384.0	HIT_01	0.9899783315276273	X74464.?	Betapapillomavirus_2		0.9899783315276273	0.05	blastn10
FM955839	Betapapillomavirus	Betapapillomavirus 2		7380.0	HIT_01	0.9544715447154472	X74464.?	Betapapillomavirus_2		0.9544715447154472	0.05	blastn10
FM955840	Betapapillomavirus	Betapapillomavirus 2		7386.0	HIT_01	0.904549147034931	X74464.?	Betapapillomavirus_2		0.904549147034931	0.05	blastn10
FM955842	Betapapillomavirus	Betapapillomavirus 2		7412.0	HIT_01	0.999055585536967	X74464.?	Betapapillomavirus_2		0.999055585536967	0.05	blastn10
FN677756	Betapapillomavirus	Betapapillomavirus 2		7386.0	HIT_01	0.9205253181695099	X74464.?	Betapapillomavirus_2		0.9205253181695099	0.05	blastn10
GQ845442	Betapapillomavirus	Betapapillomavirus 2		7304.0	HIT_01	0.9541347207009858	X74464.?	Betapapillomavirus_2		0.9541347207009858	0.05	blastn10
GQ845444	Betapapillomavirus	Betapapillomavirus 2		7397.0	HIT_01	0.9959443017439502	X74464.?	Betapapillomavirus_2		0.9959443017439502	0.05	blastn10
HE963025	Betapapillomavirus	Betapapillomavirus 2		7443.0	HIT_01	0.9901921268305791	X74464.?	Betapapillomavirus_2		0.9901921268305791	0.05	blastn10
HF930491	Betapapillomavirus	Betapapillomavirus 2		7359.0	HIT_01	0.9796167957602935	X74464.?	Betapapillomavirus_2		0.9796167957602935	0.05	blastn10
HM999997	Betapapillomavirus	Betapapillomavirus 2		7375.0	HIT_01	0.9734237288135593	X74464.?	Betapapillomavirus_2		0.9734237288135593	0.05	blastn10
U31780	Betapapillomavirus	Betapapillomavirus 2		7368.0	HIT_01	0.9626764386536374	X74464.?	Betapapillomavirus_2		0.9626764386536374	0.05	blastn10
U31781	Betapapillomavirus	Betapapillomavirus 2		7324.0	HIT_01	0.9090660841070454	X74464.?	Betapapillomavirus_2		0.9090660841070454	0.05	blastn10
U31786	Betapapillomavirus	Betapapillomavirus 2		7421.0	HIT_01	0.9924538471904056	X74464.?	Betapapillomavirus_2		0.9924538471904056	0.05	blastn10
U31787	Betapapillomavirus	Betapapillomavirus 2		7400.0	HIT_01	0.9547297297297297	X74464.?	Betapapillomavirus_2		0.9547297297297297	0.05	blastn10
X74468	Betapapillomavirus	Betapapillomavirus 2		7412.0	HIT_01	0.9915002698327037	X74464.?	Betapapillomavirus_2		0.9915002698327037	0.05	blastn10
X74469	Betapapillomavirus	Betapapillomavirus 2		7427.0	HIT_01	0.9966339033257036	X74464.?	Betapapillomavirus_2		0.9966339033257036	0.05	blastn10
Y15176	Betapapillomavirus	Betapapillomavirus 2		7427.0	HIT_01	0.9915174363807728	X74464.?	Betapapillomavirus_2		0.9915174363807728	0.05	blastn10
FJ947080	Betapapillomavirus	Betapapillomavirus 3		7476.0	HIT_01	0.9313804173354735	X74480.?	Betapapillomavirus_3		0.9313804173354735	0.05	blastn10
Y15173	Betapapillomavirus	Betapapillomavirus 3		7537.0	HIT_01	0.9953562425368183	X74480.?	Betapapillomavirus_3		0.9953562425368183	0.05	blastn10
Y15174	Betapapillomavirus	Betapapillomavirus 3		7549.0	HIT_01	0.9977480460988211	X74480.?	Betapapillomavirus_3		0.9977480460988211	0.05	blastn10
FN677755	Betapapillomavirus	Betapapillomavirus 5		7436.0	HIT_01	0.9961000537923614	AY382779.?	Betapapillomavirus_5		0.9961000537923614	0.05	blastn10
FJ492743	Chipapillomavirus	Chipapillomavirus 1		7810.0	HIT_01	0.948527528809219	DQ295066.?	Chipapillomavirus_1		0.948527528809219	0.05	blastn10
JF800656	Chipapillomavirus	Chipapillomavirus 1		7873.0	HIT_01	0.9383970532198653	DQ295066.?	Chipapillomavirus_1		0.9383970532198653	0.05	blastn10
JF800658	Chipapillomavirus	Chipapillomavirus 1		7828.0	HIT_01	0.99795605518651	DQ295066.?	Chipapillomavirus_1		0.99795605518651	0.05	blastn10
JQ754321	Chipapillomavirus	Chipapillomavirus 1		7890.0	HIT_01	0.9622306717363751	DQ295066.?	Chipapillomavirus_1		0.9622306717363751	0.05	blastn10
KT326919	Chipapillomavirus	Chipapillomavirus 1		7810.0	HIT_01	0.9985915492957746	DQ295066.?	Chipapillomavirus_1		0.9985915492957746	0.05	blastn10
KT901797	Chipapillomavirus	Chipapillomavirus 1		7839.0	HIT_01	0.9934940681209338	DQ295066.?	Chipapillomavirus_1		0.9934940681209338	0.05	blastn10
KP099966	Chipapillomavirus	Chipapillomavirus 2		7796.0	HIT_02	0.8471010774756286	DQ295066.?	Chipapillomavirus_1		0.8713442791174961	0.05	blastn10
JF800657	Chipapillomavirus	Chipapillomavirus 3		7774.0	HIT_01	0.9125289426292771	HQ262536.?	Chipapillomavirus_3		0.9125289426292771	0.05	blastn10
JQ701802	Chipapillomavirus	Chipapillomavirus 3		7826.0	HIT_01	0.9966777408637874	HQ262536.?	Chipapillomavirus_3		0.9966777408637874	0.05	blastn10
JX899359	Chipapillomavirus	Chipapillomavirus 3		7776.0	HIT_01	0.9220679012345679	HQ262536.?	Chipapillomavirus_3		0.9220679012345679	0.05	blastn10
