	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
4333	4334.0	2	AB012574	Villovirus Vf33	Complete genome	Villovirus
4336	4337.0	2	KY853667	Xylivirus Xf109	Complete genome	Xylivirus
4340	4341.0	2		Plectrovirus L51	No entry in Genbank	Plectrovirus
4487	4488.0	2	M73236	Alphapapillomavirus 1	Complete genome	Alphapapillomavirus
4489	4490.0	2	AF436130	Alphapapillomavirus 10	Complete genome	Alphapapillomavirus
4490	4491.0	3	M14119	Alphapapillomavirus 10	Complete genome	Alphapapillomavirus
4491	4492.0	4	U31788	Alphapapillomavirus 10	Complete genome	Alphapapillomavirus
4492	4493.0	5	X62843	Alphapapillomavirus 10	Complete genome	Alphapapillomavirus
4493	4494.0	6	X62844	Alphapapillomavirus 10	Complete genome	Alphapapillomavirus
4495	4496.0	2	X94165	Alphapapillomavirus 11	Complete genome	Alphapapillomavirus
4497	4498.0	2	EF558838	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4498	4499.0	3	EF558839	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4499	4500.0	4	EF558840	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4500	4501.0	5	EF558841	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4501	4502.0	6	EF558842	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4502	4503.0	7	EF558843	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4503	4504.0	8	EU490515	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4504	4505.0	9	EU490516	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4505	4506.0	10	GQ227670	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4506	4507.0	11	JF304764	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4507	4508.0	12	KT944080	Alphapapillomavirus 12	Complete genome	Alphapapillomavirus
4510	4511.0	2	AY057438	Alphapapillomavirus 14	Complete genome	Alphapapillomavirus
4511	4512.0	3	DQ080082	Alphapapillomavirus 14	Complete genome	Alphapapillomavirus
4512	4513.0	4	GU014532	Alphapapillomavirus 14	Complete genome	Alphapapillomavirus
4514	4515.0	2	AB745694	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4515	4516.0	3	AJ620211	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4516	4517.0	4	FN547152	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4517	4518.0	5	GQ246950	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4518	4519.0	6	KC138720	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4519	4520.0	7	U31783	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4520	4521.0	8	U31784	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4521	4522.0	9	X74462	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4522	4523.0	10	Y15175	Alphapapillomavirus 2	Complete genome	Alphapapillomavirus
4524	4525.0	2	AF151983	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4525	4526.0	3	AF293960	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4526	4527.0	4	AF349909	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4527	4528.0	5	AF436128	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4528	4529.0	6	AJ400628	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4529	4530.0	7	AJ620209	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4530	4531.0	8	AY395706	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4531	4532.0	9	DQ080083	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4532	4533.0	10	GQ244463	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4533	4534.0	11	X94164	Alphapapillomavirus 3	Complete genome	Alphapapillomavirus
4535	4536.0	2	X55965	Alphapapillomavirus 4	Complete genome	Alphapapillomavirus
4536	4537.0	3	X74473	Alphapapillomavirus 4	Complete genome	Alphapapillomavirus
4538	4539.0	2	AB027020	Alphapapillomavirus 5	Complete genome	Alphapapillomavirus
4539	4540.0	3	AB027021	Alphapapillomavirus 5	Complete genome	Alphapapillomavirus
4540	4541.0	4	M62877	Alphapapillomavirus 5	Complete genome	Alphapapillomavirus
4542	4543.0	2	U31794	Alphapapillomavirus 6	Complete genome	Alphapapillomavirus
4543	4544.0	3	X74482	Alphapapillomavirus 6	Complete genome	Alphapapillomavirus
4544	4545.0	4	X74483	Alphapapillomavirus 6	Complete genome	Alphapapillomavirus
4546	4547.0	2	AF131950	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4547	4548.0	3	DQ080079	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4548	4549.0	4	DQ080080	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4549	4550.0	5	M62849	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4550	4551.0	6	U21941	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4551	4552.0	7	X74479	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4552	4553.0	8	X77858	Alphapapillomavirus 7	Complete genome	Alphapapillomavirus
4554	4555.0	2	AF419318	Alphapapillomavirus 8	Complete genome	Alphapapillomavirus
4555	4556.0	3	AJ620205	Alphapapillomavirus 8	Complete genome	Alphapapillomavirus
4556	4557.0	4	X74478	Alphapapillomavirus 8	Complete genome	Alphapapillomavirus
4558	4559.0	2	D21208	Alphapapillomavirus 9	Complete genome	Alphapapillomavirus
4559	4560.0	3	D90400	Alphapapillomavirus 9	Complete genome	Alphapapillomavirus
4560	4561.0	4	J04353	Alphapapillomavirus 9	Complete genome	Alphapapillomavirus
4561	4562.0	5	M12732	Alphapapillomavirus 9	Complete genome	Alphapapillomavirus
4562	4563.0	6	X74477	Alphapapillomavirus 9	Complete genome	Alphapapillomavirus
4563	4564.0	7	X74481	Alphapapillomavirus 9	Complete genome	Alphapapillomavirus
4565	4566.0	2	AY382778	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4566	4567.0	3	EF028290	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4567	4568.0	4	FM955837	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4568	4569.0	5	FM955838	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4569	4570.0	6	FM955841	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4570	4571.0	7	GQ246951	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4571	4572.0	8	GQ845446	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4572	4573.0	9	GU014533	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4573	4574.0	10	HM999995	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4574	4575.0	11	JF304768	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4575	4576.0	12	M12737	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4576	4577.0	13	M32305	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4577	4578.0	14	U31778	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4578	4579.0	15	U31779	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4579	4580.0	16	U31782	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4580	4581.0	17	U31785	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4581	4582.0	18	X74466	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4582	4583.0	19	X74467	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4583	4584.0	20	X74470	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4584	4585.0	21	X74471	Betapapillomavirus 1	Complete genome	Betapapillomavirus
4586	4587.0	2	EF422221	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4587	4588.0	3	EU410348	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4588	4589.0	4	EU410349	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4589	4590.0	5	FM955839	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4590	4591.0	6	FM955840	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4591	4592.0	7	FM955842	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4592	4593.0	8	FN677756	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4593	4594.0	9	GQ845442	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4594	4595.0	10	GQ845444	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4595	4596.0	11	HE963025	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4596	4597.0	12	HF930491	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4597	4598.0	13	HM999997	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4598	4599.0	14	U31780	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4599	4600.0	15	U31781	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4600	4601.0	16	U31786	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4601	4602.0	17	U31787	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4602	4603.0	18	X74468	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4603	4604.0	19	X74469	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4604	4605.0	20	Y15176	Betapapillomavirus 2	Complete genome	Betapapillomavirus
4606	4607.0	2	FJ947080	Betapapillomavirus 3	Complete genome	Betapapillomavirus
4607	4608.0	3	Y15173	Betapapillomavirus 3	Complete genome	Betapapillomavirus
4608	4609.0	4	Y15174	Betapapillomavirus 3	Complete genome	Betapapillomavirus
4611	4612.0	2	FN677755	Betapapillomavirus 5	Complete genome	Betapapillomavirus
4614	4615.0	2	FJ492743	Chipapillomavirus 1	Complete genome	Chipapillomavirus
4615	4616.0	3	JF800656	Chipapillomavirus 1	Complete genome	Chipapillomavirus
4616	4617.0	4	JF800658	Chipapillomavirus 1	Complete genome	Chipapillomavirus
4617	4618.0	5	JQ754321	Chipapillomavirus 1	Complete genome	Chipapillomavirus
4618	4619.0	6	KT326919	Chipapillomavirus 1	Complete genome	Chipapillomavirus
4619	4620.0	7	KT901797	Chipapillomavirus 1	Complete genome	Chipapillomavirus
4621	4622.0	2	KP099966	Chipapillomavirus 2	Complete genome	Chipapillomavirus
4623	4624.0	2	JF800657	Chipapillomavirus 3	Complete genome	Chipapillomavirus
4624	4625.0	3	JQ701802	Chipapillomavirus 3	Complete genome	Chipapillomavirus
4625	4626.0	4	JX899359	Chipapillomavirus 3	Complete genome	Chipapillomavirus
4627	4628.0	2	AF443292	Deltapapillomavirus 1	Complete genome	Deltapapillomavirus
4630	4631.0	2	U83595	Deltapapillomavirus 3	Complete genome	Deltapapillomavirus
4632	4633.0	2	JQ798171	Deltapapillomavirus 4	Complete genome	Deltapapillomavirus
4633	4634.0	3	JX174437	Deltapapillomavirus 4	Complete genome	Deltapapillomavirus
4634	4635.0	4	KP276343	Deltapapillomavirus 4	Complete genome	Deltapapillomavirus
4635	4636.0	5	M20219	Deltapapillomavirus 4	Complete genome	Deltapapillomavirus
4637	4638.0	2	KT626573	Deltapapillomavirus 5	Complete genome	Deltapapillomavirus
4639	4640.0	2	HQ912791	Deltapapillomavirus 6	Complete genome	Deltapapillomavirus
4646	4647.0	2	EU503122	Dyoiotapapillomavirus 1	Complete genome	Dyoiotapapillomavirus
4648	4649.0	2	JQ031033	Dyoiotapapillomavirus 2	Complete genome	Dyoiotapapillomavirus
4659	4660.0	2	JF304766	Dyoomikronpapillomavirus 1	Complete genome	Dyoomikronpapillomavirus
4660	4661.0	3	JF304767	Dyoomikronpapillomavirus 1	Complete genome	Dyoomikronpapillomavirus
4661	4662.0	4	KP861980	Dyoomikronpapillomavirus 1	Complete genome	Dyoomikronpapillomavirus
4665	4666.0	2	KC858265	Dyopsipapillomavirus 1	Complete genome	Dyopsipapillomavirus
4667	4668.0	2	JX035935	Dyorhopapillomavirus 1	Complete genome	Dyorhopapillomavirus
4674	4675.0	2	KU519396	Dyoxipapillomavirus 2	Complete genome	Dyoxipapillomavirus
4676	4677.0	2	EU493091	Dyozetapapillomavirus 1	Complete genome	Dyozetapapillomavirus
4678	4679.0	2	DQ098913	Epsilonpapillomavirus 1	Complete genome	Epsilonpapillomavirus
4682	4683.0	2	AJ620210	Gammapapillomavirus 1	Complete genome	Gammapapillomavirus
4683	4684.0	3	KF006400	Gammapapillomavirus 1	Complete genome	Gammapapillomavirus
4684	4685.0	4	KT698167	Gammapapillomavirus 1	Complete genome	Gammapapillomavirus
4685	4686.0	5	X70829	Gammapapillomavirus 1	Complete genome	Gammapapillomavirus
4687	4688.0	2	GU117630	Gammapapillomavirus 10	Complete genome	Gammapapillomavirus
4688	4689.0	3	GU117633	Gammapapillomavirus 10	Complete genome	Gammapapillomavirus
4689	4690.0	4	HM999994	Gammapapillomavirus 10	Complete genome	Gammapapillomavirus
4690	4691.0	5	KC108722	Gammapapillomavirus 10	Complete genome	Gammapapillomavirus
4692	4693.0	2	HM999988	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4693	4694.0	3	HM999992	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4694	4695.0	4	HM999993	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4695	4696.0	5	JN211193	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4696	4697.0	6	JX413105	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4697	4698.0	7	KF006398	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4698	4699.0	8	KP692116	Gammapapillomavirus 11	Complete genome	Gammapapillomavirus
4700	4701.0	2	KT698166	Gammapapillomavirus 12	Complete genome	Gammapapillomavirus
4701	4702.0	3	GU117632	Gammapapillomavirus 12	Complete genome	Gammapapillomavirus
4702	4703.0	4	GU129016	Gammapapillomavirus 12	Complete genome	Gammapapillomavirus
4703	4704.0	5	JX444072	Gammapapillomavirus 12	Complete genome	Gammapapillomavirus
4704	4705.0	6	KJ913662	Gammapapillomavirus 12	Complete genome	Gammapapillomavirus
4705	4706.0	7	KT698168	Gammapapillomavirus 12	Complete genome	Gammapapillomavirus
4707	4708.0	2	JN171845	Gammapapillomavirus 13	Complete genome	Gammapapillomavirus
4710	4711.0	2	HG421739	Gammapapillomavirus 15	Complete genome	Gammapapillomavirus
4711	4712.0	3	HM999998	Gammapapillomavirus 15	Complete genome	Gammapapillomavirus
4716	4717.0	2	JX413104	Gammapapillomavirus 19	Complete genome	Gammapapillomavirus
4717	4718.0	3	JX413108	Gammapapillomavirus 19	Complete genome	Gammapapillomavirus
4719	4720.0	2	KP692114	Gammapapillomavirus 2	Complete genome	Gammapapillomavirus
4725	4726.0	2	KM085343	Gammapapillomavirus 24	Complete genome	Gammapapillomavirus
4733	4734.0	2	DQ080078	Gammapapillomavirus 6	Complete genome	Gammapapillomavirus
4734	4735.0	3	FM212639	Gammapapillomavirus 6	Complete genome	Gammapapillomavirus
4736	4737.0	2	GQ845445	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4737	4738.0	3	GU117629	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4738	4739.0	4	GU117634	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4739	4740.0	5	HM999990	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4740	4741.0	6	HM999991	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4741	4742.0	7	JF906559	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4742	4743.0	8	JX413110	Gammapapillomavirus 7	Complete genome	Gammapapillomavirus
4744	4745.0	2	GQ845441	Gammapapillomavirus 8	Complete genome	Gammapapillomavirus
4745	4746.0	3	HM999999	Gammapapillomavirus 8	Complete genome	Gammapapillomavirus
4746	4747.0	4	JX413106	Gammapapillomavirus 8	Complete genome	Gammapapillomavirus
4747	4748.0	5	KC862317	Gammapapillomavirus 8	Complete genome	Gammapapillomavirus
4749	4750.0	2	GU233853	Gammapapillomavirus 9	Complete genome	Gammapapillomavirus
4751	4752.0	2	HQ625441	Iotapapillomavirus 1	Complete genome	Iotapapillomavirus
4752	4753.0	3	KT945134	Iotapapillomavirus 1	Complete genome	Iotapapillomavirus
4757	4758.0	2	AY904722	Lambdapapillomavirus 1	Complete genome	Lambdapapillomavirus
4758	4759.0	3	AY904723	Lambdapapillomavirus 1	Complete genome	Lambdapapillomavirus
4759	4760.0	4	AY904724	Lambdapapillomavirus 1	Complete genome	Lambdapapillomavirus
4760	4761.0	5	DQ180494	Lambdapapillomavirus 1	Complete genome	Lambdapapillomavirus
4764	4765.0	2	KJ410351	Lambdapapillomavirus 4	Complete genome	Lambdapapillomavirus
4772	4773.0	2	GU117621	Omikronpapillomavirus 1	Complete genome	Omikronpapillomavirus
4773	4774.0	3	JN709470	Omikronpapillomavirus 1	Complete genome	Omikronpapillomavirus
4774	4775.0	4	JN709471	Omikronpapillomavirus 1	Complete genome	Omikronpapillomavirus
4777	4778.0	2	HG939559	Pipapillomavirus 1	Complete genome	Pipapillomavirus
4779	4780.0	2	DQ269468	Pipapillomavirus 2	Complete genome	Pipapillomavirus
4780	4781.0	3	GQ180114	Pipapillomavirus 2	Complete genome	Pipapillomavirus
4781	4782.0	4	GU808564	Pipapillomavirus 2	Complete genome	Pipapillomavirus
4782	4783.0	5	HQ625440	Pipapillomavirus 2	Complete genome	Pipapillomavirus
4787	4788.0	2	JN709473	Rhopapillomavirus 1	Complete genome	Rhopapillomavirus
4789	4790.0	2	KP205503	Rhopapillomavirus 2	Complete genome	Rhopapillomavirus
4792	4793.0	2	FJ492742	Taupapillomavirus 1	Complete genome	Taupapillomavirus
4793	4794.0	3	KT272399	Taupapillomavirus 1	Complete genome	Taupapillomavirus
4794	4795.0	4	KX599536	Taupapillomavirus 1	Complete genome	Taupapillomavirus
4797	4798.0	2	KF147892	Taupapillomavirus 3	Complete genome	Taupapillomavirus
4802	4803.0	2	MF168943	Treisepsilonpapillomavirus 1	Complete genome	Treisepsilonpapillomavirus
4809	4810.0	2	EU240895	Upsilonpapillomavirus 1	Complete genome	Upsilonpapillomavirus
4810	4811.0	3	GU117620	Upsilonpapillomavirus 1	Complete genome	Upsilonpapillomavirus
4811	4812.0	4	JN709469	Upsilonpapillomavirus 1	Complete genome	Upsilonpapillomavirus
4812	4813.0	5	JN709472	Upsilonpapillomavirus 1	Complete genome	Upsilonpapillomavirus
4816	4817.0	2	AB331650	Xipapillomavirus 1	Complete genome	Xipapillomavirus
4817	4818.0	3	AB331651	Xipapillomavirus 1	Complete genome	Xipapillomavirus
4818	4819.0	4	AB543507	Xipapillomavirus 1	Complete genome	Xipapillomavirus
4819	4820.0	5	AJ620208	Xipapillomavirus 1	Complete genome	Xipapillomavirus
4820	4821.0	6	KM983393	Xipapillomavirus 1	Complete genome	Xipapillomavirus
4821	4822.0	7	KX098515	Xipapillomavirus 1	Complete genome	Xipapillomavirus
4822	4823.0	8	X05817	Xipapillomavirus 1	Complete genome	Xipapillomavirus
5281	5282.0	2	DNA-C: EF546806; DNA-M: EF546805; DNA-N: EF546802; DNA-R: EF546807; DNA-S: EF546804; DNA-U3: EF546803	Abaca bunchy top virus	Complete genome	Babuvirus
5283	5284.0	2	DNA-C: DQ826395; DNA-M: DQ826394; DNA-N: DQ826396; DNA-R: DQ826390; DNA-S: DQ826393; DNA-U3: DQ826391	Banana bunchy top virus	Complete genome	Babuvirus
5285	5286.0	2	DNA-C: KF711227; DNA-M: KF711064; DNA-N: KF711390; DNA-R: KF710575; DNA-S: KF710901; DNA-U3: KF710738	Cardamom bushy dwarf virus	Complete genome	Babuvirus
5287	5288.0	2	DNA-C: KC978941; DNA-M: KC978942; DNA-N: KC978943; DNA-R: KC978939; DNA-S: KC978940; DNA-U1: KC978944; DNA-U2: KC978946; DNA-U4: KC978947	Black medic leaf roll virus	Complete genome	Nanovirus
5288	5289.0	3	DNA-C: KC978951; DNA-M: KC978952; DNA-N: KC978953; DNA-R: KC978949; DNA-S: KC978950; DNA-U1: KC978954; DNA-U2: KC978955; DNA-U4: KC978956	Black medic leaf roll virus	Complete genome	Nanovirus
5291	5292.0	2	DNA-C: GQ274031; DNA-M: GQ274035; DNA-N: GQ274038; DNA-R: GQ274033; DNA-S: GQ274036; DNA-U1: GQ274034; DNA-U2: GQ274037; DNA-U4: GQ274032	Faba bean necrotic stunt virus	Complete genome	Nanovirus
5293	5294.0	2	DNA-C: GQ274023; DNA-M: GQ274027; DNA-N: GQ274030; DNA-R: GQ274025; DNA-S: GQ274028; DNA-U1: GQ274026; DNA-U2: GQ274029; DNA-U4: GQ274024	Faba bean necrotic yellows virus	Complete genome	Nanovirus
5294	5295.0	3	DNA-C: KX431388; DNA-M: KX431395; DNA-N: KX431402; DNA-R: KX431381; DNA-S: KX431409; DNA-U1: KX431416; DNA-U2: KX431423; DNA-U4: KX431430	Faba bean necrotic yellows virus	Complete genome	Nanovirus
5295	5296.0	4	DNA-C: KC979021; DNA-M: KC979022; DNA-N: KC979023; DNA-R: KC979019; DNA-S: KC979020; DNA-U1: KC979024; DNA-U2: KC979025; DNA-U4: KC979026	Faba bean necrotic yellows virus	Complete genome	Nanovirus
5298	5299.0	2	DNA-C: KY070240; DNA-M: KY070244; DNA-N: KY070242; DNA-R: KY070246; DNA-S: KY070245; DNA-U1: KY070241; DNA-U2: KY070243; DNA-U4: KY070247	Milk vetch dwarf virus	Complete genome	Nanovirus
5304	5305.0	2	DNA-C: U16732; DNA-M: U16730; DNA-N: U16733; DNA-R: AJ290434; DNA-S: U16734; DNA-U1: U16736	Subterranean clover stunt virus	Partial genome	Nanovirus
5306	5307.0	2	MK059755	Brisavirus	Complete genome	Torbevirus
5307	5308.0	3	MK059757	Brisavirus	Complete genome	Torbevirus
5308	5309.0	4	MK059754	Brisavirus	Complete genome	Torbevirus
5309	5310.0	5	MK059756	Brisavirus	Complete genome	Torbevirus
5310	5311.0	6	MK059759	Brisavirus	Complete genome	Torbevirus
5311	5312.0	7	MK059758	Brisavirus	Complete genome	Torbevirus
5312	5313.0	8	KY349925	Brisavirus	Complete genome	Torbevirus
5313	5314.0	9	MH973742	Brisavirus	Complete genome	Torbevirus
5315	5316.0	2	MK059761	Vientovirus	Complete genome	Torbevirus
5316	5317.0	3	MK059772	Vientovirus	Complete genome	Torbevirus
5317	5318.0	4	MK059765	Vientovirus	Complete genome	Torbevirus
5318	5319.0	5	MK059762	Vientovirus	Complete genome	Torbevirus
5319	5320.0	6	MK059764	Vientovirus	Complete genome	Torbevirus
5320	5321.0	7	MK059760	Vientovirus	Complete genome	Torbevirus
5321	5322.0	8	MK059766	Vientovirus	Complete genome	Torbevirus
5322	5323.0	9	MK059768	Vientovirus	Complete genome	Torbevirus
5323	5324.0	10	MK059771	Vientovirus	Complete genome	Torbevirus
5324	5325.0	11	MK059767	Vientovirus	Complete genome	Torbevirus
5325	5326.0	12	MK059770	Vientovirus	Complete genome	Torbevirus
5326	5327.0	13	MK059769	Vientovirus	Complete genome	Torbevirus
5327	5328.0	14	KY244146	Vientovirus	Complete genome	Torbevirus
5328	5329.0	15	KY328746	Vientovirus	Complete genome	Torbevirus
5329	5330.0	16	KY328745	Vientovirus	Complete genome	Torbevirus
5330	5331.0	17	KY328744	Vientovirus	Complete genome	Torbevirus
5343	5344.0	2	JX131633	Beet curly top Iran virus	Complete genome	Becurtovirus
5344	5345.0	3	JX458087	Beet curly top Iran virus	Complete genome	Becurtovirus
5345	5346.0	4	JX945572	Beet curly top Iran virus	Complete genome	Becurtovirus
5355	5356.0	2	DNA-A: FN543099	Ageratum enation virus	Complete genome	Begomovirus
5356	5357.0	3	DNA-A: HM149260	Ageratum enation virus	Complete genome	Begomovirus
5360	5361.0	2	DNA-A: DQ866124	Ageratum yellow vein Hualian virus	Complete genome	Begomovirus
5363	5364.0	2	DNA-A: AB050781	Ageratum yellow vein virus	Complete genome	Begomovirus
5364	5365.0	3	DNA-A: KC172826	Ageratum yellow vein virus	Complete genome	Begomovirus
5365	5366.0	4	DNA-A: AB100305	Ageratum yellow vein virus	Complete genome	Begomovirus
